id;territorio_id;nome;uf;quantidade_escolas
1;1;Aporá;BA;18
2;1;Araçás;BA;18
3;1;Cachoeira;BA;35
4;1;Cardeal da Silva;BA;10
5;1;Entre Rios;BA;25
6;1;Itanagra;BA;11
7;1;Aramari;BA;12
8;1;Conde;BA;26
9;1;Inhambupe;BA;40
10;1;Alagoinhas;BA;51
11;1;Ouriçangas;BA;11
12;1;Terra Nova;BA;16
13;2;Oliveira dos Brejinhos;BA;
14;2;Morro do Chapéu;BA;
15;2;Lençóis;BA;
16;2;Itaetê;BA;
17;2;Iraquara;BA;
18;2;Cafarnaum;BA;
19;2;Ibicoara;BA;
20;2;Iramaia;BA;
21;2;Piritiba;BA;
22;2;Palmeiras;BA;
23;2;São Gonçalo dos Campos;BA;
24;2;Seabra;BA;
25;2;Marcionílio Souza;BA;
